number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_infer_threshold,params_learning_rate,params_minority_weight,params_weight_decay,state
0,0.12141666021532922,2024-11-17 13:51:06,2024-11-17 13:57:45,0 days 00:06:39,128,32,0.13693543790751914,0.007608481233714793,2.1740471265369044,1.0007903854383775e-05,COMPLETE
1,0.5093310601859682,2024-11-17 13:57:45,2024-11-17 14:06:14,0 days 00:08:29,64,42,0.3740878001587038,0.00024112537061475754,4.353556115226358,0.00015498955191377127,COMPLETE
2,0.46249305078936304,2024-11-17 14:06:14,2024-11-17 14:12:34,0 days 00:06:20,64,47,0.32347593137830066,0.032543911150884876,4.338438418937016,1.2082666253305453e-05,COMPLETE
3,0.47361772618572917,2024-11-17 14:12:35,2024-11-17 14:19:56,0 days 00:07:21,64,59,0.3769290462677256,6.200203677164716e-05,3.5073934252739427,0.0025248390936171007,COMPLETE
4,0.508237242688056,2024-11-17 14:19:56,2024-11-17 14:25:30,0 days 00:05:34,256,21,0.4512570013717653,0.03788145521097119,2.358643356516551,1.7994203765849863e-05,COMPLETE
5,0.4694648387892425,2024-11-17 14:25:30,2024-11-17 14:34:55,0 days 00:09:25,32,41,0.2262062524024252,0.00048353787772855095,6.535016911603787,0.007475987911298647,COMPLETE
6,0.47520937373233013,2024-11-17 14:34:55,2024-11-17 14:39:47,0 days 00:04:52,192,50,0.3992662617519358,0.021802318892988535,8.910888711251957,1.1346576147006595e-05,COMPLETE
7,0.5504018492108134,2024-11-17 14:39:47,2024-11-17 14:46:35,0 days 00:06:48,96,38,0.2174456593494718,0.014358772473434613,8.268764024744765,2.0402247877617882e-05,COMPLETE
8,0.11982492190035662,2024-11-17 14:46:35,2024-11-17 14:54:52,0 days 00:08:17,96,47,0.2062186637488905,3.31218273062551e-05,2.6930249280004723,1.1431438220548768e-05,COMPLETE
9,0.42723950393952936,2024-11-17 14:54:52,2024-11-17 15:02:19,0 days 00:07:27,128,26,0.37990334400837245,1.634745612637677e-05,5.714444295226274,0.0005276583516949844,COMPLETE
10,0.47520937373233013,2024-11-17 15:02:20,2024-11-17 15:07:25,0 days 00:05:05,192,33,0.23962587386776388,0.0029397229702041393,8.553333409041336,7.232875632937843e-05,COMPLETE
11,0.5527489529439287,2024-11-17 15:07:25,2024-11-17 15:17:54,0 days 00:10:29,32,37,0.2955287164303334,0.0003486460269361386,6.933770942078531,0.00011081423424255126,COMPLETE
12,0.5637033857765715,2024-11-17 15:17:54,2024-11-17 15:31:26,0 days 00:13:32,32,32,0.2886337436721421,0.001897651585437906,7.337733344129218,5.907541133741922e-05,COMPLETE
13,0.5538381051037062,2024-11-17 15:31:26,2024-11-17 15:41:29,0 days 00:10:03,32,31,0.291755235519563,0.0016690219230360306,6.993877419894237,6.528021527008195e-05,COMPLETE
14,0.5568956830779913,2024-11-17 15:41:29,2024-11-17 15:51:23,0 days 00:09:54,32,28,0.29359339935132794,0.002459458880903136,7.559954372658065,4.671869593679539e-05,COMPLETE
15,0.41691292241085065,2024-11-17 15:51:23,2024-11-17 15:57:15,0 days 00:05:52,192,21,0.13377272009168056,0.004383450985452515,7.599619832174448,0.0004970372319835026,COMPLETE
16,0.501847234238919,2024-11-17 15:57:15,2024-11-17 16:03:33,0 days 00:06:18,96,28,0.48366500290160397,0.0011079389192475936,5.383097190813154,4.4521994593329275e-05,COMPLETE
17,0.534456937683861,2024-11-17 16:03:33,2024-11-17 16:10:58,0 days 00:07:25,160,26,0.32810339692128926,0.00011099769924186616,6.040524361409993,0.00018100137802783036,COMPLETE
18,0.5645401903700786,2024-11-17 16:10:58,2024-11-17 16:18:50,0 days 00:07:52,256,36,0.26661478117626436,0.07640179101940363,7.609950348668356,2.909459929331137e-05,COMPLETE
19,0.12966864301511166,2024-11-17 16:18:50,2024-11-17 16:25:46,0 days 00:06:56,256,35,0.17939427196128516,0.08261874020286568,1.084247348334621,2.9766093336996236e-05,COMPLETE
20,0.5579787588428461,2024-11-17 16:25:46,2024-11-17 16:34:46,0 days 00:09:00,224,44,0.26269444965279753,0.0894364162923737,7.835127412208555,0.00029409074749916174,COMPLETE
21,0.5621164110790335,2024-11-17 16:34:46,2024-11-17 16:46:44,0 days 00:11:58,224,44,0.2576319710139023,0.08172314715157657,7.8842922033470995,0.0013671808690477057,COMPLETE
22,0.5008787598950392,2024-11-17 16:46:44,2024-11-17 16:53:17,0 days 00:06:33,224,54,0.2640048010818706,0.010121151769910321,6.386758748650603,0.0011617321034751347,COMPLETE
23,0.5357021921736755,2024-11-17 16:53:17,2024-11-17 17:01:03,0 days 00:07:46,224,39,0.1830327285373507,0.045861804949962115,8.01103228254517,0.0019750280269162984,COMPLETE
24,0.5614989501794982,2024-11-17 17:01:03,2024-11-17 17:09:02,0 days 00:07:59,256,45,0.3387789737255368,0.005199738320041997,7.107960279011103,0.0074701283267811155,COMPLETE
25,0.47520937373233013,2024-11-17 17:09:02,2024-11-17 17:14:48,0 days 00:05:46,160,34,0.25870075998790887,0.09757492793345507,8.619252371993767,0.0009092208961415254,COMPLETE
26,0.46898852373520905,2024-11-17 17:14:48,2024-11-17 17:20:06,0 days 00:05:18,224,54,0.17575880851871467,0.019244370024855673,7.312682039640229,0.003851355131882324,COMPLETE
